compress_at_step,compression_ratio,compress_scale,seed,original_path,compressed_path,PSNR,SSIM
2,0.8,1.25,80,original_seed80.png,step2_ratio0.8_seed80_compressed.png,20.27,0.8092
2,0.8,1.25,81,original_seed81.png,step2_ratio0.8_seed81_compressed.png,19.86,0.8162
2,0.8,1.25,82,original_seed82.png,step2_ratio0.8_seed82_compressed.png,19.91,0.8042
2,0.8,1.25,83,original_seed83.png,step2_ratio0.8_seed83_compressed.png,21.27,0.8183
2,0.8,1.25,84,original_seed84.png,step2_ratio0.8_seed84_compressed.png,19.74,0.7843
2,0.8,1.25,85,original_seed85.png,step2_ratio0.8_seed85_compressed.png,19.42,0.8168
2,0.8,1.25,86,original_seed86.png,step2_ratio0.8_seed86_compressed.png,19.12,0.7965
2,0.8,1.25,87,original_seed87.png,step2_ratio0.8_seed87_compressed.png,20.14,0.8084
2,0.8,1.25,88,original_seed88.png,step2_ratio0.8_seed88_compressed.png,18.04,0.7466
2,0.8,1.25,89,original_seed89.png,step2_ratio0.8_seed89_compressed.png,18.88,0.7821
2,0.8,1.25,90,original_seed90.png,step2_ratio0.8_seed90_compressed.png,19.04,0.7816
2,0.8,1.25,91,original_seed91.png,step2_ratio0.8_seed91_compressed.png,19.14,0.7605
2,0.75,1.33,42,original_seed42.png,step2_ratio0.75_seed42_compressed.png,20.38,0.8038
2,0.75,1.33,43,original_seed43.png,step2_ratio0.75_seed43_compressed.png,20.0,0.8315
2,0.75,1.33,44,original_seed44.png,step2_ratio0.75_seed44_compressed.png,20.41,0.8014
2,0.75,1.33,45,original_seed45.png,step2_ratio0.75_seed45_compressed.png,20.19,0.7645
2,0.75,1.33,46,original_seed46.png,step2_ratio0.75_seed46_compressed.png,19.54,0.8028
2,0.75,1.33,47,original_seed47.png,step2_ratio0.75_seed47_compressed.png,19.29,0.7937
2,0.75,1.33,48,original_seed48.png,step2_ratio0.75_seed48_compressed.png,17.09,0.7082
2,0.75,1.33,49,original_seed49.png,step2_ratio0.75_seed49_compressed.png,22.78,0.8298
2,0.75,1.33,50,original_seed50.png,step2_ratio0.75_seed50_compressed.png,19.8,0.7982
2,0.75,1.33,51,original_seed51.png,step2_ratio0.75_seed51_compressed.png,20.24,0.7752
2,0.75,1.33,52,original_seed52.png,step2_ratio0.75_seed52_compressed.png,20.7,0.807
2,0.75,1.33,53,original_seed53.png,step2_ratio0.75_seed53_compressed.png,17.18,0.762
2,0.75,1.33,54,original_seed54.png,step2_ratio0.75_seed54_compressed.png,20.17,0.8266
2,0.75,1.33,55,original_seed55.png,step2_ratio0.75_seed55_compressed.png,21.28,0.8344
2,0.75,1.33,56,original_seed56.png,step2_ratio0.75_seed56_compressed.png,18.18,0.7753
2,0.75,1.33,57,original_seed57.png,step2_ratio0.75_seed57_compressed.png,19.71,0.787
2,0.75,1.33,58,original_seed58.png,step2_ratio0.75_seed58_compressed.png,20.18,0.7841
2,0.75,1.33,59,original_seed59.png,step2_ratio0.75_seed59_compressed.png,19.87,0.7582
2,0.75,1.33,60,original_seed60.png,step2_ratio0.75_seed60_compressed.png,20.11,0.7851
2,0.75,1.33,61,original_seed61.png,step2_ratio0.75_seed61_compressed.png,20.02,0.8064
2,0.75,1.33,62,original_seed62.png,step2_ratio0.75_seed62_compressed.png,19.67,0.7773
2,0.75,1.33,63,original_seed63.png,step2_ratio0.75_seed63_compressed.png,18.81,0.7369
2,0.75,1.33,64,original_seed64.png,step2_ratio0.75_seed64_compressed.png,21.06,0.8082
2,0.75,1.33,65,original_seed65.png,step2_ratio0.75_seed65_compressed.png,19.47,0.8085
2,0.75,1.33,66,original_seed66.png,step2_ratio0.75_seed66_compressed.png,17.91,0.7691
2,0.75,1.33,67,original_seed67.png,step2_ratio0.75_seed67_compressed.png,19.73,0.8013
2,0.75,1.33,68,original_seed68.png,step2_ratio0.75_seed68_compressed.png,19.15,0.8012
2,0.75,1.33,69,original_seed69.png,step2_ratio0.75_seed69_compressed.png,21.82,0.839
2,0.75,1.33,70,original_seed70.png,step2_ratio0.75_seed70_compressed.png,19.1,0.796
2,0.75,1.33,71,original_seed71.png,step2_ratio0.75_seed71_compressed.png,21.85,0.8311
2,0.75,1.33,72,original_seed72.png,step2_ratio0.75_seed72_compressed.png,20.58,0.7901
2,0.75,1.33,73,original_seed73.png,step2_ratio0.75_seed73_compressed.png,16.97,0.7363
2,0.75,1.33,74,original_seed74.png,step2_ratio0.75_seed74_compressed.png,20.07,0.809
2,0.75,1.33,75,original_seed75.png,step2_ratio0.75_seed75_compressed.png,21.02,0.837
2,0.75,1.33,76,original_seed76.png,step2_ratio0.75_seed76_compressed.png,20.3,0.8174
2,0.75,1.33,77,original_seed77.png,step2_ratio0.75_seed77_compressed.png,18.43,0.7777
2,0.75,1.33,78,original_seed78.png,step2_ratio0.75_seed78_compressed.png,20.97,0.7771
2,0.75,1.33,79,original_seed79.png,step2_ratio0.75_seed79_compressed.png,19.7,0.8001
2,0.75,1.33,80,original_seed80.png,step2_ratio0.75_seed80_compressed.png,19.18,0.7912
2,0.75,1.33,81,original_seed81.png,step2_ratio0.75_seed81_compressed.png,20.36,0.8301
2,0.75,1.33,82,original_seed82.png,step2_ratio0.75_seed82_compressed.png,21.01,0.8225
2,0.75,1.33,83,original_seed83.png,step2_ratio0.75_seed83_compressed.png,21.68,0.829
2,0.75,1.33,84,original_seed84.png,step2_ratio0.75_seed84_compressed.png,20.9,0.8113
2,0.75,1.33,85,original_seed85.png,step2_ratio0.75_seed85_compressed.png,18.41,0.811
2,0.75,1.33,86,original_seed86.png,step2_ratio0.75_seed86_compressed.png,19.54,0.8013
2,0.75,1.33,87,original_seed87.png,step2_ratio0.75_seed87_compressed.png,18.43,0.7922
2,0.75,1.33,88,original_seed88.png,step2_ratio0.75_seed88_compressed.png,21.1,0.8292
2,0.75,1.33,89,original_seed89.png,step2_ratio0.75_seed89_compressed.png,19.53,0.8042
2,0.75,1.33,90,original_seed90.png,step2_ratio0.75_seed90_compressed.png,19.31,0.8058
2,0.75,1.33,91,original_seed91.png,step2_ratio0.75_seed91_compressed.png,19.42,0.7739
2,0.66,1.52,42,original_seed42.png,step2_ratio0.66_seed42_compressed.png,20.76,0.8507
2,0.66,1.52,43,original_seed43.png,step2_ratio0.66_seed43_compressed.png,19.82,0.8392
2,0.66,1.52,44,original_seed44.png,step2_ratio0.66_seed44_compressed.png,20.43,0.8272
2,0.66,1.52,45,original_seed45.png,step2_ratio0.66_seed45_compressed.png,19.97,0.8041
2,0.66,1.52,46,original_seed46.png,step2_ratio0.66_seed46_compressed.png,18.96,0.7859
2,0.66,1.52,47,original_seed47.png,step2_ratio0.66_seed47_compressed.png,20.4,0.8333
2,0.66,1.52,48,original_seed48.png,step2_ratio0.66_seed48_compressed.png,19.18,0.7729
2,0.66,1.52,49,original_seed49.png,step2_ratio0.66_seed49_compressed.png,23.81,0.8673
2,0.66,1.52,50,original_seed50.png,step2_ratio0.66_seed50_compressed.png,21.27,0.8293
2,0.66,1.52,51,original_seed51.png,step2_ratio0.66_seed51_compressed.png,20.05,0.7892
2,0.66,1.52,52,original_seed52.png,step2_ratio0.66_seed52_compressed.png,20.88,0.8184
2,0.66,1.52,53,original_seed53.png,step2_ratio0.66_seed53_compressed.png,16.83,0.7727
2,0.66,1.52,54,original_seed54.png,step2_ratio0.66_seed54_compressed.png,20.4,0.8251
2,0.66,1.52,55,original_seed55.png,step2_ratio0.66_seed55_compressed.png,22.93,0.8636
2,0.66,1.52,56,original_seed56.png,step2_ratio0.66_seed56_compressed.png,19.36,0.7963
2,0.66,1.52,57,original_seed57.png,step2_ratio0.66_seed57_compressed.png,19.76,0.8214
2,0.66,1.52,58,original_seed58.png,step2_ratio0.66_seed58_compressed.png,21.38,0.8311
2,0.66,1.52,59,original_seed59.png,step2_ratio0.66_seed59_compressed.png,19.39,0.7534
2,0.66,1.52,60,original_seed60.png,step2_ratio0.66_seed60_compressed.png,20.11,0.8096
2,0.66,1.52,61,original_seed61.png,step2_ratio0.66_seed61_compressed.png,19.7,0.8026
2,0.66,1.52,62,original_seed62.png,step2_ratio0.66_seed62_compressed.png,21.65,0.8499
2,0.66,1.52,63,original_seed63.png,step2_ratio0.66_seed63_compressed.png,19.18,0.7601
2,0.66,1.52,64,original_seed64.png,step2_ratio0.66_seed64_compressed.png,20.19,0.8172
2,0.66,1.52,65,original_seed65.png,step2_ratio0.66_seed65_compressed.png,21.35,0.8369
2,0.66,1.52,66,original_seed66.png,step2_ratio0.66_seed66_compressed.png,18.68,0.8107
2,0.66,1.52,67,original_seed67.png,step2_ratio0.66_seed67_compressed.png,20.32,0.8316
2,0.66,1.52,68,original_seed68.png,step2_ratio0.66_seed68_compressed.png,20.19,0.8309
2,0.66,1.52,69,original_seed69.png,step2_ratio0.66_seed69_compressed.png,22.34,0.8586
2,0.66,1.52,70,original_seed70.png,step2_ratio0.66_seed70_compressed.png,21.72,0.8516
2,0.66,1.52,71,original_seed71.png,step2_ratio0.66_seed71_compressed.png,21.42,0.8227
2,0.66,1.52,72,original_seed72.png,step2_ratio0.66_seed72_compressed.png,22.89,0.8499
2,0.66,1.52,73,original_seed73.png,step2_ratio0.66_seed73_compressed.png,19.34,0.8037
2,0.66,1.52,74,original_seed74.png,step2_ratio0.66_seed74_compressed.png,18.16,0.7936
2,0.66,1.52,75,original_seed75.png,step2_ratio0.66_seed75_compressed.png,21.66,0.8524
2,0.66,1.52,76,original_seed76.png,step2_ratio0.66_seed76_compressed.png,22.01,0.8592
2,0.66,1.52,77,original_seed77.png,step2_ratio0.66_seed77_compressed.png,19.76,0.8091
2,0.66,1.52,78,original_seed78.png,step2_ratio0.66_seed78_compressed.png,20.37,0.8203
2,0.66,1.52,79,original_seed79.png,step2_ratio0.66_seed79_compressed.png,19.31,0.783
2,0.66,1.52,80,original_seed80.png,step2_ratio0.66_seed80_compressed.png,21.39,0.8503
2,0.66,1.52,81,original_seed81.png,step2_ratio0.66_seed81_compressed.png,18.12,0.8109
2,0.66,1.52,82,original_seed82.png,step2_ratio0.66_seed82_compressed.png,19.92,0.8273
2,0.66,1.52,83,original_seed83.png,step2_ratio0.66_seed83_compressed.png,22.54,0.8646
2,0.66,1.52,84,original_seed84.png,step2_ratio0.66_seed84_compressed.png,21.48,0.8312
2,0.66,1.52,85,original_seed85.png,step2_ratio0.66_seed85_compressed.png,20.18,0.8313
2,0.66,1.52,86,original_seed86.png,step2_ratio0.66_seed86_compressed.png,22.29,0.8677
2,0.66,1.52,87,original_seed87.png,step2_ratio0.66_seed87_compressed.png,19.82,0.8161
2,0.66,1.52,88,original_seed88.png,step2_ratio0.66_seed88_compressed.png,20.78,0.8313
2,0.66,1.52,89,original_seed89.png,step2_ratio0.66_seed89_compressed.png,21.06,0.8172
2,0.66,1.52,90,original_seed90.png,step2_ratio0.66_seed90_compressed.png,20.8,0.8403
2,0.66,1.52,91,original_seed91.png,step2_ratio0.66_seed91_compressed.png,21.78,0.8408
2,0.5,2.0,42,original_seed42.png,step2_ratio0.5_seed42_compressed.png,20.67,0.8403
2,0.5,2.0,43,original_seed43.png,step2_ratio0.5_seed43_compressed.png,24.78,0.9172
2,0.5,2.0,44,original_seed44.png,step2_ratio0.5_seed44_compressed.png,23.73,0.89
2,0.5,2.0,45,original_seed45.png,step2_ratio0.5_seed45_compressed.png,21.92,0.8474
2,0.5,2.0,46,original_seed46.png,step2_ratio0.5_seed46_compressed.png,22.53,0.8866
2,0.5,2.0,47,original_seed47.png,step2_ratio0.5_seed47_compressed.png,21.8,0.8607
2,0.5,2.0,48,original_seed48.png,step2_ratio0.5_seed48_compressed.png,19.52,0.8129
2,0.5,2.0,49,original_seed49.png,step2_ratio0.5_seed49_compressed.png,25.68,0.905
2,0.5,2.0,50,original_seed50.png,step2_ratio0.5_seed50_compressed.png,23.93,0.8946
2,0.5,2.0,51,original_seed51.png,step2_ratio0.5_seed51_compressed.png,21.84,0.8446
2,0.5,2.0,52,original_seed52.png,step2_ratio0.5_seed52_compressed.png,23.43,0.8864
2,0.5,2.0,53,original_seed53.png,step2_ratio0.5_seed53_compressed.png,19.45,0.8328
2,0.5,2.0,54,original_seed54.png,step2_ratio0.5_seed54_compressed.png,22.4,0.8526
2,0.5,2.0,55,original_seed55.png,step2_ratio0.5_seed55_compressed.png,24.53,0.9046
2,0.5,2.0,56,original_seed56.png,step2_ratio0.5_seed56_compressed.png,21.11,0.8532
2,0.5,2.0,57,original_seed57.png,step2_ratio0.5_seed57_compressed.png,21.03,0.8494
2,0.5,2.0,58,original_seed58.png,step2_ratio0.5_seed58_compressed.png,21.8,0.88
2,0.5,2.0,59,original_seed59.png,step2_ratio0.5_seed59_compressed.png,21.06,0.844
2,0.5,2.0,60,original_seed60.png,step2_ratio0.5_seed60_compressed.png,23.17,0.8973
2,0.5,2.0,61,original_seed61.png,step2_ratio0.5_seed61_compressed.png,23.35,0.888
2,0.5,2.0,62,original_seed62.png,step2_ratio0.5_seed62_compressed.png,21.18,0.8479
2,0.5,2.0,63,original_seed63.png,step2_ratio0.5_seed63_compressed.png,21.24,0.8375
2,0.5,2.0,64,original_seed64.png,step2_ratio0.5_seed64_compressed.png,21.77,0.8493
2,0.5,2.0,65,original_seed65.png,step2_ratio0.5_seed65_compressed.png,22.56,0.8836
2,0.5,2.0,66,original_seed66.png,step2_ratio0.5_seed66_compressed.png,20.77,0.859
2,0.5,2.0,67,original_seed67.png,step2_ratio0.5_seed67_compressed.png,23.11,0.8694
2,0.5,2.0,68,original_seed68.png,step2_ratio0.5_seed68_compressed.png,21.96,0.8612
2,0.5,2.0,69,original_seed69.png,step2_ratio0.5_seed69_compressed.png,22.4,0.8518
2,0.5,2.0,70,original_seed70.png,step2_ratio0.5_seed70_compressed.png,23.64,0.896
2,0.5,2.0,71,original_seed71.png,step2_ratio0.5_seed71_compressed.png,25.32,0.9078
2,0.5,2.0,72,original_seed72.png,step2_ratio0.5_seed72_compressed.png,23.04,0.8822
2,0.5,2.0,73,original_seed73.png,step2_ratio0.5_seed73_compressed.png,20.87,0.8222
2,0.5,2.0,74,original_seed74.png,step2_ratio0.5_seed74_compressed.png,22.1,0.8735
